ds,y,yhat,yhat_lower,yhat_upper,is_anomaly,severity
2020-01-01,3.148975,1.7644411542014373,-6.368065804563827,9.847390896524558,False,0.0
2020-01-02,1.8784313,1.7867946511257466,-7.312249950437685,10.16317410680331,False,0.0
2020-01-03,1.9162589,1.8094293952029055,-7.237745572354742,10.60813576431799,False,0.0
2020-01-04,0.27835953,1.8324700059737613,-6.97703661258216,10.793728323951962,False,0.0
2020-01-05,0.15383667,1.8560764090087882,-6.89231840438521,9.950388659552313,False,0.0
2020-01-06,0.10997289,1.8804327412116426,-6.281078125985909,10.747216278786924,False,0.0
2020-01-07,0.91999435,1.9057347403340614,-6.613611769104176,10.957152676382792,False,0.0
2020-01-08,2.0723062,1.9321761291469137,-7.306053940656969,11.174320768967533,False,0.0
2020-01-09,2.4121792,1.9599345498137821,-6.660590424933751,11.360875802693787,False,0.0
2020-01-10,0.4687773,1.9891576295435596,-6.630862822767841,11.081811333448398,False,0.0
2020-01-11,0.46178988,2.019949763493343,-6.9379848261815384,11.208304473489337,False,0.0
2020-01-12,0.032564417,2.052360184805864,-7.080412759816322,10.55925104085982,False,0.0
2020-01-13,0.06603268,2.086372854941274,-6.243091992914912,11.059718460078704,False,0.0
2020-01-14,0.6269605,2.121898651140921,-6.386268033994238,10.62990344137307,False,0.0
2020-01-15,0.036443274,2.1587702536509683,-6.243278503845434,11.078649031440813,False,0.0
2020-01-16,0.47191843,2.1967400455462274,-6.348870303141748,11.173032930963998,False,0.0
2020-01-17,1.5331073,2.2354812355178,-7.1452840052158555,11.59133928821215,False,0.0
2020-01-18,1.513996,2.2745923020969863,-6.9993657068494874,11.311747635518103,False,0.0
2020-01-19,0.8129661,2.313604740207876,-6.341375319924455,10.966144609141633,False,0.0
2020-01-20,1.2286278,2.3519939715094127,-5.779083455156173,11.282855427810443,False,0.0
2020-01-21,4.0908756,2.3891931627578518,-6.560185805569756,11.249364984744012,False,0.0
2020-01-22,7.8225675,2.424609585347117,-6.334218915927886,11.144550008207755,False,0.0
2020-01-23,3.7082906,2.4576430481145484,-6.0695234626979655,11.347449647442248,False,0.0
2020-01-24,0.90801555,2.4877058479842673,-6.180210642828959,10.858169781164108,False,0.0
2020-01-25,1.3992528,2.5142436122044995,-6.158682995322431,11.467615328034318,False,0.0
2020-01-26,2.6903708,2.536756354498844,-6.018211896251062,11.05984236873782,False,0.0
2020-01-27,1.8318706,2.5548190374288446,-6.056303697856343,10.62849018932273,False,0.0
2020-01-28,2.0140107,2.5681009260701444,-6.206944182357191,11.199463829876837,False,0.0
2020-01-29,2.0108593,2.576383034395162,-6.293169014806796,11.862423212633542,False,0.0
2020-01-30,2.7771895,2.5795730054690442,-6.280025658235129,11.202514483764618,False,0.0
2020-01-31,0.64385897,2.577716828848875,-5.435302800161976,11.152673700159847,False,0.0
2020-02-01,6.2156506,2.5710068818753435,-5.6490082200552445,11.592619949679275,False,0.0
2020-02-02,3.8726544,2.559785883561896,-5.894246614487978,11.367406452200681,False,0.0
2020-02-03,8.260519,2.544546467633028,-6.094410466751472,11.446963816453813,False,0.0
2020-02-04,3.2808974,2.5259262114484424,-5.711709361086047,11.455066358191416,False,0.0
2020-02-05,1.2688022,2.5046980961934473,-6.715622827841143,11.481507620797665,False,0.0
2020-02-06,2.8293817,2.4817565165327284,-6.371358036380614,11.192759425933472,False,0.0
2020-02-07,1.6096234,2.4580991005105015,-5.760089758101478,11.613121390920439,False,0.0
2020-02-08,0.5407363,2.4348047382837126,-6.034989234214206,11.252549379538394,False,0.0
2020-02-09,0.54571533,2.4130083468837817,-6.307291179898588,11.513557550857097,False,0.0
2020-02-10,2.044638,2.3938730133864294,-6.183159457504826,11.191464245061441,False,0.0
2020-02-11,2.2970152,2.378560256768603,-6.095919122803337,11.218838278280645,False,0.0
2020-02-12,2.8010852,2.3681992259395037,-6.255064072487266,10.614067513218798,False,0.0
2020-02-13,8.715434,2.3638557051676816,-6.1203650312414455,11.33128902437962,False,0.0
2020-02-14,2.7931187,2.366501826261654,-6.510082265843646,11.411931970428194,False,0.0
2020-02-15,0.55280066,2.3769873880511185,-6.2012049116569745,11.223396100611202,False,0.0
2020-02-16,2.8948638,2.396013657408063,-6.347811946842558,11.324650128636446,False,0.0
2020-02-17,1.4780059,2.424110472560562,-6.1727898130037735,10.943511843832773,False,0.0
2020-02-18,1.4452752,2.4616173899273557,-6.345415905065792,11.251025345572343,False,0.0
2020-02-19,1.8534372,2.5086695120962417,-6.551575988126307,10.638774534267538,False,0.0
2020-02-20,9.429763,2.565188509647337,-6.0557483485814645,11.020929697998149,False,0.0
2020-02-21,3.742491,2.6308792066970685,-6.413045774066796,11.939575246095375,False,0.0
2020-02-22,1.3484339,2.705231943373606,-6.277917344548683,11.032116727626283,False,0.0
2020-02-23,1.6218967,2.7875307624492014,-5.606733677416777,11.599758506141095,False,0.0
