ds,mean,max,p90,p95
2020-04-16,25.29775,28.728622,27.694027,28.137873
2020-04-17,6.4623904,10.996983,9.313841,10.017286
2020-04-18,8.726011,13.800193,11.950386,13.312204
2020-04-19,3.7774389,6.1233454,5.4187593,5.6512275
2020-04-20,7.9668374,15.561365,13.0265665,14.560351
2020-04-21,7.5217404,12.454739,10.438183,11.549996
2020-04-22,5.252689,7.1878805,6.7801743,7.0479717
2020-04-23,4.4389806,6.9382043,6.0916815,6.2344604
2020-04-24,3.127515,4.5011725,3.522323,4.3229036
2020-04-25,6.598865,11.653322,9.500941,11.26934
2020-04-26,13.765045,20.34121,18.565586,20.000315
2020-04-27,2.5500023,4.609324,3.8821213,4.257716
2020-04-28,0.66466457,1.1074729,0.9924252,1.0746458
2020-04-29,0.6845398,1.1931672,1.0978442,1.1407977
2020-04-30,8.854476,11.18763,10.618949,10.798625
2020-05-01,1.7923441,3.4406047,3.0805852,3.3143578
2020-05-02,1.1315973,1.6265005,1.5496165,1.5734245
2020-05-03,1.1862816,2.1838167,2.0748327,2.1666331
2020-05-04,0.3889575,0.6108022,0.5456126,0.60267293
2020-05-05,2.8677676,5.554889,4.446205,5.3150334
2020-05-06,2.154518,4.0829635,3.2671497,3.658005
2020-05-07,0.30972126,1.2504534,0.92266726,0.9678371
2020-05-08,0.11206319,0.4531309,0.39415956,0.45142955
2020-05-09,2.1557553,2.622031,2.5103538,2.573585
2020-05-10,1.9900063,2.9473615,2.757582,2.9192271
2020-05-11,2.4741411,4.393518,3.9339046,4.0131183
2020-05-12,3.3236778,5.533001,5.0007443,5.429349
2020-05-13,4.1310945,6.221224,5.856083,5.977414
2020-05-14,4.8592224,6.9431767,6.501199,6.7081733
2020-05-15,5.713419,7.2081122,6.923938,7.027967
2020-05-16,3.9712734,6.440155,5.905071,5.963618
2020-05-17,2.9519615,3.5566106,3.4977884,3.53055
2020-05-18,2.2193696,3.0367074,2.7875476,2.931718
2020-05-19,3.5166943,4.7591333,4.1846023,4.424778
2020-05-20,5.83005,6.970512,6.868905,6.8984785
2020-05-21,3.81229,6.0517864,5.5890102,5.6976566
2020-05-22,4.783237,7.411219,6.587707,7.064629
2020-05-23,20.61484,40.319973,32.995087,37.211826
2020-05-24,15.602993,21.47464,19.642658,20.357706
